RUHUHA;GS RUHUHA;1329
MAYANGE;EP MAYANGE B;1072
MUSENYI;GS MUSENYI;1393
NYARUGENGE;GS KAMABARE;1212
KAMABUYE;EP BIHARAGO;1541
KIGARAMA;EP NYANKURAZO;1729
MUSHIKIRI;EP RWANYAMUHANGA;1128
KIREHE;EP KADUHA;1024
GATORE;EP GATORE;1717
MPANGA;GS KANKOBWA;1773
SAKE;EP GAFUNZO;923
KIBUNGO;EP KIBUNGO;1232
SAKE;EP NSHILI;1568
REMERA;EP KABARE;753
ZAZA;GS ZAZA;1618
NYAGATARE;MIRAMA PRIMARY SCHOOL;833
KARANGAZI;GS MUSENYI;970
GATUNDA;KARAMBI PRIMARY SCHOOL;1681
NYAGATARE;GAKIRAGE PRIMARY SCHOOL ;2548
RUKOMO;GS RURENGE;2759
MUYUMBU;EP MUYUMBU;2116
NZIGE;GS AKANZU;2757
KIGABIRO;GS RWAMAGANA A;1925
RUBONA;GS RUBONA;
NYAKARIRO;GS BIHEMBE;1736
KIRAMURUZI;EP GAKENKE;1816
KIZIGURO;GS KIZIGURO;1674
GITOKI;GS NYAKAYAGA;2467
KAGEYO;GS KAGEYO;1607
GASANGE;GS GASANGE;2051
NYAMIRAMA;GS NYAGASAMBU;1542
RUKARA;GS MUZIZI;2459
GAHINI;EP GAHINI;1020
RUKARA;GS KAWANGIRE CATHOLIQUE;836
KABARE;GS RUSHENYI;
NZAHAHA;GS BUTAMBAMO;623
GITAMBI;GS MASHESHA;1355
GIHEKE;GS ST AUGUSTIN GIHEKE;1183
RWIMBOGO;EP NTENYI;3
GASHONGA;GS MARIE REINE MIBILIZI;1240
NKOMBO;GS NKOMBO ;2157
NYAKILIBA;GS MUTURA;1252
GISENYI;CENTRE SCOLAIRE GISENYI;1133
GISENYI;GS UMUBANO I;1877
GISENYI;CENTRE SCOLAIRE UMUBANO II;1001
NYAMYUBA;CENTRE SCOLAIRE RAMBO;2133
JENDA;BUKINANYANA OFFICIEL;762
RAMBURA;CENTRE SCHOLAIRE BIREMBO;1180
JENDA;GS SCOLAIRE JENDA;1223
RAMBURA;GS SCOLAIRE ST RAPHAEL;1569
KANAMA;GS KANAMA CATHOLIQUE;
MUKAMIRA;GS RWANKERI;1339
BUSHEKERI;GS ST DOMINIQUE SAVIO de NYANZA;1891
KARENGERA;GS NYARUSANGE;838
GIHOMBO;GS NYAKANYINYA;526
KANJONGO;KIBOGORA;1433
KAGANO;GS ST NICOLA DE NYAMASHEKE A;1076
SHANGIV;SHANGI PRIMARY SCHOOL;1961
MUSHUBATI;GS MUSHUBATI;1403
GIHANGO;GS CONGO NIL;1057
GIHANGO;GS RUGOTE;1331
RUSEBEYA;GS GAKERI;1024
MUKURA;GS RWIGONGO;1344
RUBENGERA;EP GACACA;311
RUBENGERA;EP RUBENGERA;1005
GISHYITA;GS GISHYITA;1436
GASHALI;EP BIRAMBO A;780
BWISHYURA;GS KIBUYE ST  NICOLAS;987
GATUMBA;GS MUHORORO;1236
KABAYA;EP KABAYA;1891
NYANGE;GS NYANGE B;830
GORORERO;GS RUSUSA;
MATYAZO;GS MURAMBA B;1391
KIMONYI;GS KITABURA;1644
KINIGI;GS KAMPANGA;
MUHOZA;GS KABAYA;1023
MUSANZE;CS MUHE;1412
NKOTSI;GS NYAKINAMA I;1494
NEMBA;EP KIGEYO;2135
CYERU;EP KIRAMBO;1447
KINONI;EP KINONI;1378
KAGOGO;GS IGITARE II;1277
RUGENBARI;GS MUCACA;1436
KAGEYO;GS DE MUHONDO;1493
RUKOMO;MESHERO PRIMARY SCHOOL;1242
KANIGA;EP MULINDI;1062
MIYOVE;GS MIYOVE;2526
KAGEYO;GS KAGEYO;1700
RUSHASHI;EP RWANKUBA;598
RULI;EP RULI;802
NEMBA;GS NEMBA I;1272
RUSHASHI;EP GANGE;1049
NEMBA;EP BUGA;707
BUSHOKI;EP TARE;1140
KINZUZI;GS REMERA;1192
BASE;GS KIRULI;1610
MURAMBI;GS MURAMBI;1157
KINIHIRA;GS KINIHIRA;1474
KIBILIZI;GS KIBILIZI;1191
